#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-04-17-11-47-05
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1313583870.684872	C7Rzdf2N6U2EIC3ZVc	60.190.223.75	2012	147.32.84.165	1048	bad_TCP_checksum	-	F	bro
1313584433.977938	CpqZ7945SVB8rMcD0a	147.32.84.165	1635	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584433.977938	CbXYfF42ctgDrxCGpc	147.32.84.165	1636	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584435.375799	CvgBlR2a8KbGfoYF53	147.32.84.165	1639	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584435.375799	Ch3deSnWc2gMDCmK2	147.32.84.165	1641	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584435.375799	CgSEa04YnwWB2v8DPg	147.32.84.165	1642	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584435.375799	CbFK6J9IaL0ofJeDa	147.32.84.165	1644	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584435.375799	C1wijz2EGO1XwqxIY7	147.32.84.165	1645	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584435.375799	C5c9JF1bDFqGdysCxb	147.32.84.165	1647	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584435.375799	CYkuh44rxe9b2HFG85	147.32.84.165	1649	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584435.475490	C5fpYQ1sYta5JbN8ui	147.32.84.165	1651	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584449.214774	CLpGqm4YV26iJqRJG2	147.32.84.165	1658	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584449.214774	CQ8vw24mKexXILCNq7	147.32.84.165	1659	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584449.214774	CETl9Y16ohqOD4GP8a	147.32.84.165	1660	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584449.214774	CKgj8bvJ6U4RH35Y	147.32.84.165	1663	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584449.214774	CGfY1z1U0PXyS5lRu2	147.32.84.165	1664	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584449.296049	Cf61ZM1LC6ftGiLud9	147.32.84.165	1666	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584449.596087	CH4lmb1xtYsLfDmZVa	147.32.84.165	1667	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584449.596087	CZBLE52qd1gkIrsmX8	147.32.84.165	1669	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584449.867543	CU9FZk1HotO1gxVOdd	147.32.84.165	1673	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584449.867543	CIUFmA4SDe6zdiWRFj	147.32.84.165	1674	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584464.657633	C2K5F4ULlGC3er7oj	147.32.84.165	1687	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584464.657633	C0BqnS2v01AFP9pVZa	147.32.84.165	1688	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584479.078111	ChUksU2VL6cXOP9kTb	147.32.84.165	1702	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584479.078111	Cu6ykk3UmymnfBy8hk	147.32.84.165	1703	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584479.078111	CTyKIP2TD79lbpWSqd	147.32.84.165	1705	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584479.476336	Cxq0pC4Yis7ECFrjba	147.32.84.165	1706	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584479.476336	CQsoWm2pc6EnPwkztj	147.32.84.165	1707	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584479.676025	Cziv7U11oK0EumpIIf	147.32.84.165	1709	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584479.676025	CAgSKM31PvBH3zrF79	147.32.84.165	1711	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584479.979915	CXfRBIi6jKt7t3MP9	147.32.84.165	1714	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584479.979915	CcQGnfOdtghrOBDjf	147.32.84.165	1715	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584480.334755	CQZkAt2pKFlOAH47xi	147.32.84.165	1717	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584480.580682	CHlNI7lVOqdXzWSbi	147.32.84.165	1720	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584480.580682	CRAJh7iLKmkbrCsEb	147.32.84.165	1721	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584494.736159	CgIXHm4xD6m8WUt7j	147.32.84.165	1727	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584494.736159	CRkihBMVoDZE7Xmgc	147.32.84.165	1728	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584494.736159	C6DaoO2N435vomDFJ6	147.32.84.165	1733	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584494.736159	CsciAX2WAfd3aQLy2c	147.32.84.165	1734	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584495.386860	ClRK9g2TQAlUCxlMZk	147.32.84.165	1737	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584495.386860	CdNnv71tqxQTLQ2jWd	147.32.84.165	1738	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584509.748793	CD8g6S2LhhayfEmMqc	147.32.84.165	1756	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584510.407709	CG4FPb3lJ6r28Enpa2	147.32.84.165	1759	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584510.572201	CYM7pZ1oJdYa8j4Y6h	147.32.84.165	1763	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584511.059326	C1Te0U1C0kId4LwV4i	147.32.84.165	1766	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584524.120098	CmsADG4lX5JuDH5pef	147.32.84.165	1784	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584524.120098	CYiqus2lSiRI65vRz4	147.32.84.165	1785	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584524.801566	CKYJrA1vfbhaR1rYRh	147.32.84.165	1787	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584524.801566	CX2xhB3e3sWSaHbgK1	147.32.84.165	1788	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584525.622111	CPSRLU3F1iJfsSjQGc	147.32.84.165	1794	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584525.622111	CvlnBkWi0AsdFPxu7	147.32.84.165	1795	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584525.622111	CJEfsA3uUsel7F7Gpi	147.32.84.165	1796	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584525.622111	Cu0E8H1738CFByBe8i	147.32.84.165	1799	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584525.622111	CMFC2GX8RsfuhoVqe	147.32.84.165	1800	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584526.122499	CxIQRN3BD3LSkmj4Oe	147.32.84.165	1805	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584529.932739	CoDs2w4yGXz4Wcu9H7	147.32.84.165	1051	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584533.533730	CUFOIb4mpUx9pFECn6	147.32.84.165	1815	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584539.493085	CanJuG4ivYQNkkgll	147.32.84.165	1824	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584539.493085	CHXhSwFT18GzPJG3	147.32.84.165	1825	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584539.825945	CjCwR04xWw8BpDw6Zj	147.32.84.165	1831	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584539.825945	COtOPT3SMIPknYxIDa	147.32.84.165	1832	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584539.825945	C4V6kz4wpy2ZjTsuqi	147.32.84.165	1835	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584539.825945	CJtijl345sSr3RvYZb	147.32.84.165	1836	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584539.825945	C1MdeG3rmphfmuBWH	147.32.84.165	1837	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584539.825945	C70xnJ2zY5LDZNtlgh	147.32.84.165	1838	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584541.044580	CwpNVK1oRnlv8Ccd07	147.32.84.165	1843	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584541.244703	Ctss0z4pBNs18Vpdb	147.32.84.165	1846	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584555.987318	CnvQ2b2UPw6uLGFSX4	147.32.84.165	1873	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584555.987318	Cw4nej15vexT8dzYZ8	147.32.84.165	1874	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584569.309955	CvGwlk4hiieXtarWYe	147.32.84.165	1899	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584569.309955	CClQ9W1DISQpi0A5uj	147.32.84.165	1901	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584569.739635	CmAsBI3L3amQox5h3c	147.32.84.165	1903	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584569.739635	Cpg5wz4VGj9DgnY0Fd	147.32.84.165	1904	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584570.416321	Cctlny2Hxd1ZSGOlO	147.32.84.165	1910	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584570.416321	C9Y20T3UtZlOiXko3g	147.32.84.165	1911	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584571.024591	CvFXuEUMZqUOZ1rOh	147.32.84.165	1915	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584571.024591	CDuNid3NuPPzZcftte	147.32.84.165	1916	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584571.726606	CijvPL1XJ3Wql3Fqcd	147.32.84.165	1918	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584571.726606	C5T51V2wg0XRqjhtWd	147.32.84.165	1919	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584571.726606	C01oSLkqCv6zZPxbk	147.32.84.165	1921	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584571.726606	CAu4gQ2PihCchhFsse	147.32.84.165	1922	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584584.046446	CwwexO1dv4dCVgXT39	147.32.84.165	1945	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584584.633102	CMTS1X1Bq8dF5JQOOa	147.32.84.165	1947	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584589.173275	CKg3Zd2dbKaVVQxESa	147.32.84.165	1963	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584594.799565	CbKBzw2rQnkWfD2bzf	147.32.84.165	1950	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584595.229664	CXIDRs3bwDiVAmQ8wc	147.32.84.165	1952	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584600.760204	C4CgGY1tZBDXd7ay3	147.32.84.165	1985	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584600.760204	Cm4RrI37RxbGLUZkfb	147.32.84.165	1986	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584602.904467	CHZUIs4EGyYIIppaM7	147.32.84.165	1993	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584604.693655	CkoLWA2aFFWLQo6ZM2	147.32.84.165	1950	147.32.80.9	53	dns_unmatched_reply	-	F	bro
1313584610.321904	CBbeUf32mp3pkP2BB6	147.32.84.165	1981	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584611.520480	CeR48UXgswM4GVoOb	147.32.84.165	1991	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584614.728831	CUdC4w2OuOg4higg9f	147.32.84.165	2011	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584614.728831	C1CNLp4OkLSDlHPhVg	147.32.84.165	2012	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584614.728831	C0a0Nv3iUasfyAa8t3	147.32.84.165	2014	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584614.728831	CykoLA1K7n1ax5xrFc	147.32.84.165	2015	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584614.728831	CmxXBy4ytKyPC4TW4e	147.32.84.165	2017	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584614.728831	CTXjbl1THLcYKd2x2l	147.32.84.165	2018	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584614.728831	CmcR8O2wblTN713UC6	147.32.84.165	2019	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584614.728831	CfajhT3qfgCPpFLkul	147.32.84.165	2021	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584616.310673	CjPJdq2tbBcK5XHTob	147.32.84.165	2024	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584616.310673	CVPfpqgM66SZ69lz8	147.32.84.165	2025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584616.310673	CJsH6NQVP69mVOZe6	147.32.84.165	2029	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584616.310673	C3QCzu3B7NunPO8F3	147.32.84.165	2030	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584616.310673	CGrw7H3AxsfUJSjvJl	147.32.84.165	2033	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584616.310673	CKVmbt4pEYKEGAWtV8	147.32.84.165	2034	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584617.084572	CSx5eGsWfhXyD43Th	147.32.84.165	2052	86.123.31.54	6667	irc_line_too_short	-	F	bro
1313584617.681608	CSx5eGsWfhXyD43Th	147.32.84.165	2052	86.123.31.54	6667	irc_invalid_command	-	F	bro
1313584617.681608	CSx5eGsWfhXyD43Th	147.32.84.165	2052	86.123.31.54	6667	bad_HTTP_request	-	F	bro
1313584617.681608	CSx5eGsWfhXyD43Th	147.32.84.165	2052	86.123.31.54	6667	empty_http_request	-	F	bro
1313584619.704347	CfHXzD4etSZIObE3ai	147.32.84.165	2041	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584619.704347	CcgJr126PMCNhWN5Hc	147.32.84.165	2042	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584619.704347	CQgreF0aXs7N2zr82	147.32.84.165	1981	147.32.80.9	53	dns_unmatched_reply	-	F	bro
1313584632.834635	Cu2qY32dHKZeFW9ms8	147.32.84.165	2070	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584633.360911	CyH96j22tEwnikhiOa	147.32.84.165	2072	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584644.785665	CuR4bFchd03qtvEV3	147.32.84.165	2091	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584644.929139	CZszMS3bh24PYURDaj	147.32.84.165	2092	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584645.864282	CuiAId1eAWT7NQy0U9	147.32.84.165	2097	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584645.864282	CgFvVf2wJ9Qr61zUh	147.32.84.165	2098	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584645.864282	Cavskk1q972I7uxG72	147.32.84.165	2099	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584646.975806	CHpJlp136dfEGOILhg	147.32.84.165	2101	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584646.975806	C0Vahq4GBcsD7ysO4l	147.32.84.165	2103	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584646.975806	Cgdzql2kg4xJ1lVYbc	147.32.84.165	2104	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584649.418376	C9epku3duqzB4Z3HD3	147.32.84.165	2111	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584650.018954	CxhDOi481042a7tjcg	147.32.84.165	2112	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584659.132564	CCmy4i3yQb57B96FC8	147.32.84.165	2128	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584659.132564	CiFsF83aURMZarTUT8	147.32.84.165	2129	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584659.632747	CJM5s94BafRgOqulY7	147.32.84.165	2131	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584659.632747	CWuU1s14K6DoHZaw52	147.32.84.165	2132	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584660.214304	CSHUzy76cnz0oL7v8	147.32.84.165	2134	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584660.214304	C48QiJ2R3GhzvQUOH7	147.32.84.165	2135	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584660.624222	CoPev34qJTX8CHw0Bk	147.32.84.165	2139	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584660.640181	CGMtft3yPqp5B0annd	147.32.84.165	2140	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584661.326627	ClAVuafBEdqep8WRg	147.32.84.165	2143	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584661.326627	CbkgiL3fYnk4Nxk4Yl	147.32.84.165	2144	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584675.042727	Cf0sWQ3ZSCLAUsU1t	147.32.84.165	2171	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584675.042727	Cav3oU3KRhK8WQ0u0i	147.32.84.165	2172	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584676.417634	CYfSVR1hKj8bImpHyj	147.32.84.165	2178	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584676.417634	CYw9fq2m8z1c4R8Zp5	147.32.84.165	2179	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584678.420454	CVPmvhwcUpKPkYd5d	147.32.84.165	2185	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584678.420454	CuYW1B2WBni2A9OQke	147.32.84.165	2186	147.32.80.9	53	dns_unmatched_msg	-	F	bro
