#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-04-17-11-43-50
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1313497470.315870	Cl5n0a1YPbHqN16G5l	147.32.84.165	1043	175.6.0.103	80	bad_TCP_checksum	-	F	bro
1313501087.423516	Cn8UaO4pmhBkvR8F8	147.32.84.165	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313502005.053334	CRcDG8Azi8XUODNCl	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313503446.248021	CoVxldHvPfaKNXaTi	147.32.84.165	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313503465.753055	CMh4cO3PsZOlLyoBD5	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313503465.753055	CoVxldHvPfaKNXaTi	147.32.84.165	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313504034.300638	C05MJN348rmbZxBR3	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313505434.153917	CiXSSngT7NgNfMsJ3	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313505490.749628	CQN7tQodpWPdBiO5f	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313506390.742218	CcCjaj4XwZ3YNXYIC	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313508773.884538	CIa8w82V9mEDGRT2Z4	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313511124.023671	C0jQ5A3ynEpWql6jE6	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313512810.732493	ClwjHp49a47RFfMHEe	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313513513.008620	CBrM1UPczRIYMVS98	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313515869.487368	CRkCdhnkVDONtixx8	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313518252.132435	CLnVMz1GWZcBg0TKh	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313520049.606804	CJzD452HooWdHF0XY9	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313521270.710746	CndzlN8j6PRBlcTR4	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313522998.026388	Casj8saBxTYuNKaOe	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313523670.707293	CG0p1B4wsKCBzEVqV6	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313527238.275943	CeYYLYgJiOF4N46Hf	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313530108.308788	CqGVGu2EMowZHMFOD7	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313531663.846346	CNUaFAwpyLxqfGy13	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313534838.300022	C7rmsl1IfVD56eDs01	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313537210.501160	C96rPo2Miz3NOZEKhb	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313541683.090815	CpKjG33QmXgRYOoCKd	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313544233.357549	CarinW3dSpv3LUJGDg	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313549058.866933	C5ovWm4Sad0I4HgXC	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313551425.417949	Cgwc7p2dsOHsbCWNN7	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313552507.484288	CRjNah1YdBaGxovIw9	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313556180.505163	CDBZEc3jFavF2c0379	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313563270.619070	CpZAht4fa4ndKpwRvk	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313565658.632054	CNlaN3HxpcDHBrube	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
#close	2019-04-17-11-43-52
