#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-04-15-10-12-51
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1313583870.684872	CUOtvC1tWEu85lUHVb	60.190.223.75	2012	147.32.84.165	1048	bad_TCP_checksum	-	F	bro
1313584359.717256	CfUzze2di4BMdq7Puf	147.32.84.165	1525	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CKJW4Y3on78F2Lqf42	147.32.84.165	1527	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CX3yss4tGYUy1c5x54	147.32.84.165	1526	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	C629SL1UmshLCyeuG7	147.32.84.165	1528	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CVTHXDLstzAwk0IB8	147.32.84.165	1529	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CLQR9s3V1PxyXFS8Za	147.32.84.165	1530	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CbjgoiUGTyPVTXMx7	147.32.84.165	1531	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CZhWjKIkaqjAVALOd	147.32.84.165	1532	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CXf4Kbg8x434BR9X	147.32.84.165	1536	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CWzt4I39C4l6Yka31f	147.32.84.165	1535	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CpJZKp4s92fVSmUIYe	147.32.84.165	1533	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CSI4Sa1s1yCBhPLFL7	147.32.84.165	1537	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	ClDwgC20bTj32Vn0Zh	147.32.84.165	1534	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CDV5522psYHU0YsMGb	147.32.84.165	1538	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	C8GT9c3q2BMU4n7SKb	147.32.84.165	1539	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CbV1CL363dBaW93YK	147.32.84.165	1540	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CtA9tZ3v7rnPBjNkKl	147.32.84.165	1542	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	COeJIY2YRMKRidGdt7	147.32.84.165	1544	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CjwpEF49IuorXb4pTg	147.32.84.165	1546	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	ChDV9t1Wc11bEgJ1ge	147.32.84.165	1548	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CoWjGX7SDpi5517z7	147.32.84.165	1549	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CVvvaN2FzoOfcrCg29	147.32.84.165	1552	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	Czy0PG23ujIcEysvpd	147.32.84.165	1553	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	Cs2qZjSecA8IvkXSb	147.32.84.165	1556	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CWsZx015GaeZJldHxj	147.32.84.165	1555	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584388.988896	C2KZap2shLqvemwCR6	147.32.84.165	1579	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584388.988896	CTYm9xwtkr433fHul	147.32.84.165	1580	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584389.840718	CpRoAm4s3vvcY3vc3l	147.32.84.165	1583	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584389.840718	C70JWq4ofJ0n5WCbTd	147.32.84.165	1584	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584389.840718	C6hdDA2w0Wf7RCTXyh	147.32.84.165	1586	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584389.840718	CYBSwA2ytYo4SgCtkh	147.32.84.165	1591	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584403.850433	Cmm16uHlevx16CAs8	147.32.84.165	1594	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584403.850433	Cfdjei1cmiUjnPKXBj	147.32.84.165	1595	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584403.850433	C5kEZ13NxQySxnzeV5	147.32.84.165	1597	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584403.850433	C4q7Js3Z29pXKRpeh6	147.32.84.165	1598	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584404.652189	CvCf082Q6UDyWXKB15	147.32.84.165	1601	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584404.652189	CFfyzT3epppzyrr0J9	147.32.84.165	1602	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584404.652189	CvBe903sfth49QhlQ6	147.32.84.165	1605	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584404.652189	CRDJAa4UWeIBLIAQFk	147.32.84.165	1606	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584404.652189	CjQas22VAJu34yVmB5	147.32.84.165	1607	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584404.652189	Cjxt1T36iJGkv7a7B	147.32.84.165	1608	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584404.652189	CeKKYi3zDGtplYFp0a	147.32.84.165	1609	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584404.652189	CsGOwFSgJZJRrfym	147.32.84.165	1611	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584404.652189	CX8rHh2VoxGT47pvy3	147.32.84.165	1614	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584404.652189	ChFkSW1h35FKeBlhpg	147.32.84.165	1615	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584433.977938	CY9zgL1SOe1md78ndg	147.32.84.165	1635	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584433.977938	C7CXZb2ZfIrAaj6q98	147.32.84.165	1636	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584435.375799	C7UUoN2wXD88jhIop4	147.32.84.165	1639	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584435.375799	CAL8XpUBWEiGisBw7	147.32.84.165	1641	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584435.375799	CKUUvQdg7YAxCCwD4	147.32.84.165	1642	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584435.375799	Cod63q1qC9dWa4v9H1	147.32.84.165	1644	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584435.375799	CUFnbi3MwxSvetjvtc	147.32.84.165	1645	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584435.375799	CQ0LQ615FbFuZT7CVf	147.32.84.165	1647	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584435.375799	Cx83Rp3dLZRMrdGMZ1	147.32.84.165	1649	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584435.475490	CMlIS53CVk6VRTNGa9	147.32.84.165	1651	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584449.214774	CuR4lz4ZSKR1asHhg3	147.32.84.165	1658	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584449.214774	CyOKNK6sIGBnhDOH	147.32.84.165	1659	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584449.214774	CYnajc2sKJlFznD2t3	147.32.84.165	1660	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584449.214774	CdyA96Oz2Nd6P66y7	147.32.84.165	1663	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584449.214774	CQzujV10IoFgnldkeb	147.32.84.165	1664	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584449.296049	ChWFIQ2oXFnrPjfNh9	147.32.84.165	1666	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584449.596087	CIQa9FyqHfrNwGYQg	147.32.84.165	1667	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584449.596087	CVDwXEQGisvlXJUG2	147.32.84.165	1669	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584449.867543	C6vdEm4tippZitussb	147.32.84.165	1673	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584449.867543	CvNSpXpr55MkpkKf2	147.32.84.165	1674	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584464.657633	CzNwNB1OMK6bBOIhZ8	147.32.84.165	1687	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584464.657633	CibmHQ2QRDGSfqyiOb	147.32.84.165	1688	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584479.078111	CNNFUyBtmXGdSahX4	147.32.84.165	1702	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584479.078111	CFL1lG4VB3GnKAeQNc	147.32.84.165	1703	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584479.078111	CsHymx3uBhfiKraVP5	147.32.84.165	1705	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584479.476336	CS6gUp2FLKnfveWkk3	147.32.84.165	1706	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584479.476336	CCUcWCvmnp8zajYO1	147.32.84.165	1707	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584479.676025	Curp1w2mLjFWCusKc9	147.32.84.165	1709	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584479.676025	C7MScb1eFU60zvwAO1	147.32.84.165	1711	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584479.979915	Ch97svRWTMnZ4zSv8	147.32.84.165	1714	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584479.979915	Cuo468635Y0bq8Wb	147.32.84.165	1715	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584480.334755	Cfi7XO3PfLbr2MsSGi	147.32.84.165	1717	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584480.580682	CVnlj9NfTz4KvXMCa	147.32.84.165	1720	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584480.580682	CLkx2S3m4j5ScrWpWc	147.32.84.165	1721	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584494.736159	CznuXI16aEVhpGLqIj	147.32.84.165	1727	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584494.736159	CffbW13GIFWGCqm48	147.32.84.165	1728	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584494.736159	CJXub72wSvjlpopAAk	147.32.84.165	1733	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584494.736159	CNgmlCFokgQTjlh9d	147.32.84.165	1734	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584495.386860	CCS1tg2mVuV7un7k62	147.32.84.165	1737	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584495.386860	CIbXA94ddX5kwyBhhe	147.32.84.165	1738	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584509.748793	CWL9waoPcy6BAKJc	147.32.84.165	1756	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584510.407709	CTCQwn3QSgX1DOiLL4	147.32.84.165	1759	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584510.572201	C40MhI2idsEt6yLeu5	147.32.84.165	1763	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584511.059326	CkXHfc3h3bvT7Kpa32	147.32.84.165	1766	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584524.120098	CpuKnl1Kus7zeug105	147.32.84.165	1784	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584524.120098	C3Nemc3PSrhOtB5Ui5	147.32.84.165	1785	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584524.801566	CmCHUS3U6vh36aIzNk	147.32.84.165	1787	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584524.801566	CbLCUC18LbWT34M7t	147.32.84.165	1788	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584525.622111	CteG2J1t6UzP8U8Zlk	147.32.84.165	1794	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584525.622111	CvxJYD1uqC4lDCuH31	147.32.84.165	1795	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584525.622111	CnhB2x11vw1GMAOM6d	147.32.84.165	1796	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584525.622111	CQX8D01BwNM58LhrT7	147.32.84.165	1799	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584525.622111	CO9Mni2a8KiODtTXs6	147.32.84.165	1800	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584526.122499	Cc6Fch1CHXrBwezTR1	147.32.84.165	1805	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584529.932739	CZIOs21BkrUgttyi45	147.32.84.165	1051	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584533.533730	CMSBVq4TFfpatbztk	147.32.84.165	1815	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584539.493085	CYmHVjYIujNP1aGXk	147.32.84.165	1824	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584539.493085	CyYFuJznjO48nUO6i	147.32.84.165	1825	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584539.825945	ChaLMzMPt5bO3fds3	147.32.84.165	1831	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584539.825945	CSNlFf2OLHsRV77XVi	147.32.84.165	1832	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584539.825945	CQFTzo3ci53y22iVo7	147.32.84.165	1835	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584539.825945	Ce76ut4f411LmEI8Wl	147.32.84.165	1836	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584539.825945	Cq5VVIOp1eeB26yU2	147.32.84.165	1837	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584539.825945	CF39dwlLOzI7Imf3e	147.32.84.165	1838	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584541.044580	CPYi822nyX9tOoUBS4	147.32.84.165	1843	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584541.244703	CsDA042IMFABttm1m	147.32.84.165	1846	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584555.987318	CUEI8Q1SF8ufogKIT5	147.32.84.165	1873	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584555.987318	CLdiYx1QLmusYu4WQ	147.32.84.165	1874	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584569.309955	Cu1kmz4w3tB0ndUnZ5	147.32.84.165	1899	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584569.309955	CxNStQ3NmSMeb9o2H8	147.32.84.165	1901	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584569.739635	C5kJll2K8HEb7mAqrk	147.32.84.165	1903	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584569.739635	C2QOMZ2FdB7RKOmdO1	147.32.84.165	1904	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584570.416321	C2VVfFEZ1KEyYzYcj	147.32.84.165	1910	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584570.416321	CE3dQf3Vegj4Ji6Acj	147.32.84.165	1911	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584571.024591	C2owFR2AFinlZE7EAe	147.32.84.165	1915	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584571.024591	ChRNHF3t5QdwTM8Ewe	147.32.84.165	1916	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584571.726606	CttTKJ29SWRpbiNIR3	147.32.84.165	1918	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584571.726606	C3pcVa8K97muNiEN	147.32.84.165	1919	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584571.726606	CICXRX24fe1fJd6itl	147.32.84.165	1921	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584571.726606	C5dqyL3BBDD9ryr3hl	147.32.84.165	1922	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584584.046446	ClkLuAfIh8tkJI9xe	147.32.84.165	1945	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584584.633102	CUL9Hw4TwrJBRN2cC9	147.32.84.165	1947	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584589.173275	CF3OOX3c4j2VjSvLbk	147.32.84.165	1963	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584594.799565	COFxJ92H1uAUrUOLbl	147.32.84.165	1950	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584595.229664	CQt7e74NinsRUcEKdk	147.32.84.165	1952	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584600.760204	CGZv1IkXZ51eh1wY9	147.32.84.165	1985	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584600.760204	CiqD5d2NAPk19270dh	147.32.84.165	1986	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584602.904467	Cg59TamkiyNQwrbe8	147.32.84.165	1993	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584604.693655	CflUfm3UlTbLJXVCQk	147.32.84.165	1950	147.32.80.9	53	dns_unmatched_reply	-	F	bro
1313584610.321904	CC1qz9OJOIFQ6fnPf	147.32.84.165	1981	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584611.520480	Ccrdrw8qetMrGz4b5	147.32.84.165	1991	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584614.728831	CDpknJ2DZLJ8oPq5Sa	147.32.84.165	2011	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584614.728831	CJIZy12Nj1Vlq0P9L8	147.32.84.165	2012	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584614.728831	Cfyuru3jCt4K658zEe	147.32.84.165	2014	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584614.728831	Ca3d5L1S6a5erD8hFk	147.32.84.165	2015	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584614.728831	CfC95O1JzU429SCR2b	147.32.84.165	2017	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584614.728831	Ca1HwT1vtCc6Z14oTg	147.32.84.165	2018	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584614.728831	CCA1H02d5VHgbMhqVb	147.32.84.165	2019	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584614.728831	CoD86Q1Oqh5r2RU2T	147.32.84.165	2021	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584616.310673	CJ9CJm1oilv6mPZx3b	147.32.84.165	2024	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584616.310673	CEk6GN1qTTp4iyAWB2	147.32.84.165	2025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584616.310673	ChVLih3Yn5fLHwP0H8	147.32.84.165	2029	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584616.310673	Cr3T8h3o6DIoaQu0r2	147.32.84.165	2030	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584616.310673	CPKlWD3Y8YauaQAPt7	147.32.84.165	2033	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584616.310673	CzROjmMQO69sw7HB7	147.32.84.165	2034	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584617.084572	CV7Mz31ug9ZxbWhpLd	147.32.84.165	2052	86.123.31.54	6667	irc_line_too_short	-	F	bro
1313584617.681608	CV7Mz31ug9ZxbWhpLd	147.32.84.165	2052	86.123.31.54	6667	irc_invalid_command	-	F	bro
1313584617.681608	CV7Mz31ug9ZxbWhpLd	147.32.84.165	2052	86.123.31.54	6667	bad_HTTP_request	-	F	bro
1313584617.681608	CV7Mz31ug9ZxbWhpLd	147.32.84.165	2052	86.123.31.54	6667	empty_http_request	-	F	bro
1313584619.704347	CPhkdGvVky7jVZss7	147.32.84.165	2041	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584619.704347	CKtgRn4Zx3dEbPYne3	147.32.84.165	2042	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584619.704347	CKoEDFPjKAMqVRDD4	147.32.84.165	1981	147.32.80.9	53	dns_unmatched_reply	-	F	bro
1313584632.834635	C3I7Tz4GSVTaxEfb07	147.32.84.165	2070	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584633.360911	Cko8iJ24nsvdic31H8	147.32.84.165	2072	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584644.785665	C3VVp22MaLn6pNbV77	147.32.84.165	2091	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584644.929139	C91AC44aSkxWlHkfTd	147.32.84.165	2092	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584645.864282	CcMCK138j8XBEQp6U8	147.32.84.165	2097	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584645.864282	CkXBqi1I0AA0ZVFnBd	147.32.84.165	2098	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584645.864282	CA9jp84Ykha7xZ9wF2	147.32.84.165	2099	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584646.975806	Cvx1eN1K40VCPAtnxf	147.32.84.165	2101	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584646.975806	CSOwC42ebuVLLbTRJk	147.32.84.165	2103	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584646.975806	CUv33K2TaHdraoj37g	147.32.84.165	2104	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584649.418376	CoOw5a3G6yTFbLN8q2	147.32.84.165	2111	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584650.018954	Cnj5PJ2jGEcrzcZJjc	147.32.84.165	2112	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584659.132564	CsTIjv1LksmkSaYWb5	147.32.84.165	2128	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584659.132564	CLcVzS2lrferp7rL5d	147.32.84.165	2129	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584659.632747	CkOU6pxj4T7EQ7Dce	147.32.84.165	2131	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584659.632747	CwZrDq2BjrV9zSqZMl	147.32.84.165	2132	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584660.214304	CArC9r2SM8pqVOmuVa	147.32.84.165	2134	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584660.214304	CHSa2H2rouNYVJY0T8	147.32.84.165	2135	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584660.624222	Cw7nyl2YAOx6SybAEd	147.32.84.165	2139	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584660.640181	CsQH63vfBVoUhtqZg	147.32.84.165	2140	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584661.326627	CCSdWw3ftMC6z6Xk8i	147.32.84.165	2143	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584661.326627	Chr64RP6Moc5E7pza	147.32.84.165	2144	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584675.042727	CNBWm61UvNZwoVYO4c	147.32.84.165	2171	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584675.042727	CnwTxF4nsav7lbuUnk	147.32.84.165	2172	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584676.417634	CDW9NA46IQz53LReLe	147.32.84.165	2178	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584676.417634	C4zFOO0d0Knd8n66k	147.32.84.165	2179	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584678.420454	CbtKBD1Hdrxmoex6u2	147.32.84.165	2185	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584678.420454	C0jSKrmlyj2622oKh	147.32.84.165	2186	147.32.80.9	53	dns_unmatched_msg	-	F	bro
